type,affix,lang,word,trans,trans2,ref,equiv
suffix,ible,Dutch,terrible,verschrikkelijk,verschrikkelijk,terrible,0
prefix,oct,Scottish,octagon,octagon,octagon,octagon,1
prefix,bene,Spanish,benefit,beneficio,beneficio,benefit,1
suffix,some,Irish,lonesome,lonesome,lonesome,lonesome,1
suffix,ive,Luxembourg,creative,kreativ,kreativ,creative,1
suffix,ary,Icelandic,planetary,plánetuáferðir,planetuaferoir,planetary,0
prefix,sex,Danish,sexual,seksuel,seksuel,sexual,1
suffix,sion,Danish,depression,depression,depression,depresion,1
prefix,counter,Spanish,counter-attack,contraataque,contraataque,counter-attak,1
suffix,th,German,warmth,Wärme,warme,warmth,1
prefix,div,Danish,divide,opdele,opdele,divide,0
infix,hydr,Hungarian,dehydrate,dehidrát,dehidrat,dehydrate,1
suffix,ity,Swedish,abnormality,avvikelse,avvikelse,abnormality,0
infix,just,Swedish,injustice,orättvis,orattvis,injustice,0
infix,just,Swedish,injustice,orättvis,orattvis,injustice,0
infix,just,Swedish,injustice,orättvis,orattvis,injustice,0
infix,just,Swedish,injustice,orättvis,orattvis,injustice,0
suffix,ant,Estonian,reliant,sõltuv,soltuv,reliant,0
prefix,hemi,Welsh,hemisphere,hemisffer,hemisffer,hemisfere,1
suffix,ible,Finnish,credible,uskottava,uskottava,credible,0
prefix,syn,Spanish,synthetic,síntesis,sintesis,synthetic,0
prefix,blan,Danish,bland,kedelig,kedelig,bland,0
suffix,less,Norwegian,faultless,feilfri,feilfri,faultles,0
suffix,er,Norwegian,dancer,danser,danser,dancer,1
prefix,gyn,Catalan,gynecology,ginecologia,ginecologia,gynecology,1
prefix,flu,Icelandic,fluvial,fluvial,fluvial,fluvial,1
prefix,flu,French,fluent,courant,courant,fluent,0
prefix,term,Spanish,terminate,terminar,terminar,terminate,1
prefix,term,Hungarian,terminate,vége,vege,terminate,0
suffix,th,Welsh,warmth,cynhesrwydd,cynhesrwydd,warmth,0
prefix,viv,Luxembourg,vivid,lebendig,lebendig,vivid,0
suffix,ward,Italian,wayward,ribelle,ribelle,wayward,0
suffix,ward,Dutch,afterward,daarna,daarna,afterward,0
suffix,some,Icelandic,lonesome,lonesome,lonesome,lonesome,1
prefix,just,Danish,justify,begrunde,begrunde,justify,0
prefix,im,Luxembourg,impossible,onméiglech,onmeiglech,imposible,0
suffix,ment,Basque,movement,mugimendua,mugimendua,movement,0
suffix,able,Swedish,adaptable,anpassningsbar,anpassningsbar,adaptable,0
suffix,ion,Swedish,decision,beslut,beslut,decision,0
infix,morph,German,amorphous,amorph,amorph,amorfous,1
prefix,de,Italian,deactivate,disattivare,disattivare,deactivate,1
prefix,com,Portuguese,compartment,compartimento,compartimento,compartment,1
suffix,sect,Latin,bisect,equalia,equalia,bisect,0
prefix,amor,German,amorous,amourösen,amourosen,amorous,1
suffix,wise,Estonian,lengthwise,pikuti,pikuti,lengthwise,0
prefix,de,Latin,deactivate,deactivate,deactivate,deactivate,1
prefix,jur,Dutch,jury,jury,jury,jury,1
prefix,an,Portuguese,anacoustic,anacústica,anacustica,anacoustic,1
prefix,trans,Swedish,translate,översätta,oversatta,translate,0
suffix,er,Spanish,fuller,fuller,fuller,fuler,1
prefix,hydr,Icelandic,hydrant,hydrant,hydrant,hydrant,1
prefix,sex,Catalan,sexagon,sexagon,sexagon,sexagon,1
prefix,counter,German,counterproposal,gegenvorschlag,gegenvorschlag,counterproposal,0
suffix,ward,Dutch,backward,achterwaartse,achterwaartse,bakward,0
prefix,blan,Hungarian,blanch,blanch,blanch,blanch,1
prefix,homo,Dutch,homogenize,homogeniseren,homogeniseren,homogenize,1
suffix,ment,Hungarian,establishment,létrehozás,letrehozas,establishment,0
prefix,mal,Welsh,malaise,anhwylder,anhwylder,malaise,0
prefix,noct,Italian,nocturnal,notturno,notturno,nocturnal,1
prefix,arach,Spanish,arachnophobia,aracnofobia,aracnofobia,arachnofobia,1
prefix,mega ,Swedish,megadose,megadose,megadose,megadose,1
prefix,blan,Finnish,blank,tyhjä,tyhja,blank,0
prefix,multi,Estonian,multitude,rahvahulk,rahvahulk,multitude,0
prefix,flu,Dutch,fluid,vloeistof,vloeistof,fluid,0
prefix,inter,Danish,intersect,krydse,krydse,intersect,0
prefix,mono,German,monotone,monoton,monoton,monotone,1
suffix,ary,Catalan,planetary,planetària,planetaria,planetary,1
prefix,mega ,Hungarian,megabyte,megabyte,megabyte,megabyte,1
prefix,noct,Irish,nocturnal,oíche,oiche,nocturnal,0
suffix,able,Scottish,predictable,predictable,predictable,predictable,1
prefix,pre,Norwegian,preliminary,foreløpige,forelopige,preliminary,0
suffix,ish,Latvian,sluggish,Gausa,gausa,sluggish,0
prefix,contra,Basque,contraindicated,kontrako,kontrako,contraindicated,0
prefix,circum ,Latin,circumscribe,circumscribe,circumscribe,circumscribe,1
prefix,uni,Latvian,unicycle,unicycle,unicycle,unicycle,1
prefix,post,French,postscript,PostScript,postscript,postscript,1
suffix,wise,Italian,edgewise,edgewise,edgewise,edgewise,1
suffix,let,Italian,triplet,tripletta,tripletta,triplet,1
suffix,ant,Estonian,brilliant,geniaalne,geniaalne,briliant,0
suffix,ible,Estonian,terrible,kohutav,kohutav,terrible,0
infix,phil,Swedish,francophilia,francophilia,francophilia,francofilia,1
prefix,super,Latin,supersonic,supersonic,supersonic,supersonic,1
suffix,er,Portuguese,teacher,professor,professor,teacher,0
suffix,ism,Catalan,professionalism,professionalitat,professionalitat,profesionalism,1
suffix,ing,German,writing,schriftlich,schriftlich,riting,0
suffix,ed,Italian,laughed,ridere,ridere,laughed,0
suffix,sion,Catalan,depression,depressió,depressio,depresion,1
prefix,aud,Luxembourg,auditorium,Auditorium,auditorium,auditorium,1
prefix,poly,Welsh,polygamy,amlwreiciaeth,amlwreiciaeth,polygamy,0
suffix,ous,Spanish,fabulous,Fabuloso,fabuloso,fabulous,1
suffix,ness,Catalan,fondness,fondness,fondness,fondnes,1
prefix,equ,Dutch,equilateral,gelijkzijdig,gelijkzijdig,equilateral,0
prefix,a,Welsh,amoral,amoral,amoral,amoral,1
prefix,mis,Portuguese,misappropriate,apropriar,apropriar,misapropriate,0
prefix,homo,Portuguese,homosexual,homossexual,homossexual,homosexual,1
suffix,ee,Icelandic,employee,starfsmaður,starfsmaour,employee,0
prefix,mal,Latin,malfeasance,facinus,facinus,malfeasance,0
prefix,hydr,Finnish,hydrant,vesiposti,vesiposti,hydrant,0
infix,morph,Estonian,metamorphosis,metamorfoos,metamorfoos,metamorfosis,1
prefix,mono,Scottish,monochrome,monochrome,monochrome,monochrome,1
prefix,poly,Icelandic,polygamy,fjölkvæni,fjolkvaeni,polygamy,0
prefix,sect,Latin,sector,sector,sector,sector,1
suffix,ly,Dutch,honestly,eerlijk,eerlijk,honestly,0
prefix,ped,Catalan,pedometer,podòmetre,podometre,pedometer,1
suffix,ate,Basque,undulate,desegin,desegin,undulate,0
suffix,en,Norwegian,lengthen,forlenge,forlenge,lengthen,0
prefix,bio,Dutch,biology,biologie,biologie,biology,1
suffix,able,Latin,preventable,adipiscing,adipiscing,preventable,0
suffix,less,Hungarian,hopeless,reménytelen,remenytelen,hopeles,0
suffix,ic,Estonian,iconic,ikooniks,ikooniks,iconic,1
suffix,ed,Finnish,laughed,nauraa,nauraa,laughed,0
prefix,mid,Basque,midterm,midterm,midterm,midterm,1
suffix,eer,Dutch,volunteer,vrijwilliger,vrijwilliger,volunteer,0
suffix,ward,Catalan,afterward,després,despres,afterward,0
prefix,jur,Irish,jury,giúiré,giuire,jury,0
prefix,mort,Norwegian,mortal,dødelig,dodelig,mortal,0
infix,sym,Latin,assymetric,assymetric,assymetric,asymetric,1
suffix,ward,Dutch,wayward,eigenzinnig,eigenzinnig,wayward,0
suffix,er,Hungarian,dancer,táncos,tancos,dancer,0
suffix,ment,Norwegian,movement,bevegelse,bevegelse,movement,0
prefix,macro,Portuguese,macroscopic,macroscopico,macroscopico,macroscopic,1
prefix,quad,Dutch,quadratic,kwadratisch,kwadratisch,quadratic,1
prefix,press,Finnish,pressing,painamalla,painamalla,presing,0
suffix,sect,Scottish,bisect,bisect,bisect,bisect,1
suffix,sect,Estonian,resect,resect,resect,resect,1
suffix,ish,Italian,sluggish,lento,lento,sluggish,0
prefix,bi,Portuguese,bilateral,bilateral,bilateral,bilateral,1
prefix,bio,Latvian,biohazard,biohazard,biohazard,biohazard,1
prefix,aud,Latin,auditory,auditorio,auditorio,auditory,1
prefix,an,Hungarian,anaerobic,anaerob,anaerob,anaerobic,1
suffix,ium,Portuguese,stadium,estadio,estadio,stadium,1
prefix,blan,Swedish,blanch,blanchera,blanchera,blanch,1
suffix,er,Finnish,helper,auttaja,auttaja,helper,0
prefix,flu,Icelandic,fluid,vökvi,vokvi,fluid,0
prefix,bi,Latin,binary,binarii,binarii,binary,1
suffix,ian,German,thespian,thespian,thespian,thespian,1
suffix,eum,Spanish,mausoleum,mausoleo,mausoleo,mausoleum,1
prefix,super,Luxembourg,superfluous,überflüssig,uberflussig,superfluous,0
prefix,poly,Irish,polyester,poileistear,poileistear,polyester,1
suffix,sion,Icelandic,confusion,rugl,rugl,confusion,0
prefix,flu,Portuguese,flux,fluxo,fluxo,flux,1
prefix,seme,German,semester,Semester,semester,semester,1
prefix,uni,Estonian,universe,universum,universum,universe,1
prefix,term,Norwegian,terminate,avslutte,avslutte,terminate,0
prefix,flu,Latin,fluid,fluidum,fluidum,fluid,1
prefix,super,Icelandic,supercilious,frábær,frabaer,supercilious,0
prefix,amor,Irish,amorous,amorous,amorous,amorous,1
prefix,ante,Danish,antebellum,antebellum,antebellum,antebelum,1
infix,cog,Dutch,recognize,herkennen,herkennen,recognize,0
suffix,ed,Welsh,missed,colli,colli,mised,0
suffix,able,Swedish,preventable,förebyggas,forebyggas,preventable,0
infix,bio,Latin,abiotic,abiotic,abiotic,abiotic,1
infix,bio,Latin,abiotic,abiotic,abiotic,abiotic,1
infix,bio,Latin,abiotic,abiotic,abiotic,abiotic,1
infix,bio,Latin,abiotic,abiotic,abiotic,abiotic,1
prefix,syn,Hungarian,syntax,szintaxis,szintaxis,syntax,1
prefix,de,Basque,deplane,agroek,agroek,deplane,0
prefix,bi,Welsh,bisexual,deurywiol,deurywiol,bisexual,0
prefix,an,German,anaerobic,anaerob,anaerob,anaerobic,1
suffix,ee,German,employee,Mitarbeiter,mitarbeiter,employee,0
prefix,hydr,Basque,hydrant,foru,foru,hydrant,0
prefix,dis,Norwegian,disapprove,godkjenne,godkjenne,disaprove,0
suffix,let,Dutch,triplet,triool,triool,triplet,0
prefix,mis,Hungarian,misuse,visszaélés,visszaeles,misuse,0
prefix,counter,Estonian,counterproposal,vastuettepanek,vastuettepanek,counterproposal,0
prefix,com,Hungarian,commiserate,commiserate,commiserate,commiserate,1
prefix,over,Spanish,overcook,recocido,recocido,overcook,0
prefix,semi,Norwegian,semiconductor,halvleder,halvleder,semiconductor,0
suffix,ship,Italian,worship,culto,culto,worship,0
prefix,seme,Latvian,semester,pusgads,pusgads,semester,0
prefix,equ,Finnish,equilateral,tasasivuinen,tasasivuinen,equilateral,0
prefix,tele,Luxembourg,telescope,Teleskop,teleskop,telescope,1
prefix,viv,Spanish,vivid,vivo,vivo,vivid,1
suffix,ward,Scottish,awkward,awkward,awkward,awkward,1
prefix,aud,Catalan,audition,audició,audicio,audition,1
suffix,sion,Swedish,depression,depression,depression,depresion,1
prefix,equ,Norwegian,equivocal,equivocal,equivocal,equivocal,1
prefix,quad,Finnish,quadrant,neljännes,neljannes,quadrant,0
suffix,less,Irish,faultless,faultless,faultless,faultles,1
suffix,less,Icelandic,faultless,faultless,faultless,faultles,1
prefix,co,Hungarian,coworker,munkatárs,munkatars,coworker,0
suffix,ian,Danish,amphibian,Padde,padde,amfibian,0
suffix,ant,Luxembourg,defiant,trotzig,trotzig,defiant,0
prefix,mid,Basque,midseason,midsason,midsason,midseason,1
suffix,al,Dutch,seasonal,seizoensgebonden,seizoensgebonden,seasonal,0
prefix,a,Scottish,amoral,amoral,amoral,amoral,1
prefix,aud,Norwegian,audition,audition,audition,audition,1
infix,phob,Luxembourg,zoophobia,zoophobie,zoophobie,zoofobia,1
prefix,ir,Welsh,irregular,afreolaidd,afreolaidd,irregular,0
prefix,exo,French,extend,étendre,etendre,extend,1
prefix,sub,Spanish,submarine,submarino,submarino,submarine,1
suffix,eum,Estonian,mausoleum,mausoleum,mausoleum,mausoleum,1
prefix,extra,Scottish,extracurricular,extracurricular,extracurricular,extracurricular,1
prefix,son,Danish,sonic,Sonic,sonic,sonic,1
prefix,son,Finnish,sonorous,sonorous,sonorous,sonorous,1
suffix,ity,Irish,probability,dóchúlacht,dochulacht,probability,0
prefix,com,Basque,compartment,konpartimenduan,konpartimenduan,compartment,0
prefix,de,Swedish,deplane,deplane,deplane,deplane,1
prefix,non,Catalan,nonexistent,inexistent,inexistent,nonexistent,1
suffix,ness,Catalan,darkness,foscor,foscor,darnes,0
prefix,quin,Estonian,quintuplet,kvintupleet,kvintupleet,quintuplet,1
prefix,ab,German,abstract,abstrakt,abstrakt,abstract,1
suffix,er,Danish,longer,længere,laengere,longer,1
prefix,micro,Portuguese,microphone,microfone,microfone,microfone,1
prefix,ante,Portuguese,antechamber,antecamara,antecamara,antechamer,1
prefix,mal,Estonian,malfeasance,väärkäitumine,vaarkaitumine,malfeasance,0
prefix,hydr,German,hydrate,hydratisieren,hydratisieren,hydrate,1
prefix,con,Portuguese,confound,confundir,confundir,confound,1
prefix,bi,Norwegian,bisexual,biseksuell,biseksuell,bisexual,1
prefix,anti,Catalan,antifreeze,anticongelant,anticongelant,antifreeze,0
prefix,extra,Finnish,extravert,extravert,extravert,extravert,1
suffix,eur,Dutch,provacateur,provacateur,provacateur,provacateur,1
suffix,ium,Dutch,aquarium,aquarium,aquarium,aquarium,1
suffix,ment,Portuguese,movement,movimento,movimento,movement,1
prefix,re,Norwegian,rewrite,omskrive,omskrive,rerite,0
prefix,viv,Hungarian,vivid,vivid,vivid,vivid,1
suffix,ous,French,cautious,prudent,prudent,cautious,0
prefix,super,Welsh,supernatural,goruwchnaturiol,goruwchnaturiol,supernatural,0
prefix,mort,Italian,mortal,mortale,mortale,mortal,1
prefix,sub,Portuguese,submarine,submarino,submarino,submarine,1
prefix,dist,German,equidistant,äquidistante,aquidistante,equidistant,1
prefix,dist,German,equidistant,äquidistante,aquidistante,equidistant,1
prefix,dist,German,equidistant,äquidistante,aquidistante,equidistant,1
prefix,dist,German,equidistant,äquidistante,aquidistante,equidistant,1
suffix,ian,Irish,amphibian,amfaibiaigh,amfaibiaigh,amfibian,1
suffix,ful,Welsh,beautiful,hardd,hardd,beautiful,0
prefix,re,German,re-evaluate,Neubewertung,neubewertung,re-evaluate,0
suffix,ship,Finnish,internship,työharjoittelu,tyoharjoittelu,internship,0
suffix,eur,Finnish,provacateur,provacateur,provacateur,provacateur,1
prefix,tri,Icelandic,triangle,þríhyrningur,thrihyrningur,triangle,1
infix,sym,Basque,assymetric,assimetrikoa,assimetrikoa,asymetric,1
prefix,bio,Catalan,biology,biologia,biologia,biology,1
suffix,less,Estonian,restless,rahutu,rahutu,restles,0
prefix,tele,Finnish,telescope,kaukoputki,kaukoputki,telescope,0
infix,mort,Portuguese,immortal,imortal,imortal,immortal,1
suffix,sect,Finnish,bisect,puolita,puolita,bisect,0
prefix,counter,Scottish,counteroffer,counteroffer,counteroffer,counteroffer,1
prefix,ped,Scottish,pedometer,pedometer,pedometer,pedometer,1
suffix,ible,Welsh,credible,gredadwy,gredadwy,credible,0
prefix,intra,Catalan,intrasttate,intrasttat,intrasttat,intrasttate,1
prefix,ante,Spanish,anterior,anterior,anterior,anterior,1
suffix,ic,Luxembourg,organic,organisch,organisch,organic,1
suffix,ed,Danish,called,kaldet,kaldet,caled,1
prefix,mono,Italian,monochrome,monocromatico,monocromatico,monochrome,1
prefix,hyper,Luxembourg,hyperspace,Hyperraum,hyperraum,hyperspace,0
suffix,ship,German,ownership,Eigentum,eigentum,ownership,0
prefix,homo,Italian,homosexual,omosessuale,omosessuale,homosexual,1
prefix,bi,Scottish,bilateral,bilateral,bilateral,bilateral,1
suffix,ee,Hungarian,employee,alkalmazott,alkalmazott,employee,0
prefix,div,German,divide,teilen,teilen,divide,0
suffix,sion,Hungarian,tension,feszültség,feszultseg,tension,0
infix,olog,Catalan,anthropologic,antropològic,antropologic,anthropologic,1
infix,olog,Icelandic,meteorology,veðurfræði,veourfraeoi,meteorology,0
prefix,son,Welsh,sonorous,soniarus,soniarus,sonorous,1
infix,olog,Swedish,mythology,mytologi,mytologi,mythology,1
suffix,less,Catalan,faultless,impecable,impecable,faultles,0
prefix,mort,Danish,mortal,dødelig,dodelig,mortal,0
prefix,jur,Portuguese,jurisprudence,jurisprudência,jurisprudencia,jurisprudence,1
prefix,nat,French,natural,naturel,naturel,natural,1
prefix,nat,French,natural,naturel,naturel,natural,1
prefix,nat,French,natural,naturel,naturel,natural,1
prefix,nat,French,natural,naturel,naturel,natural,1
prefix,non,Estonian,nonnegotiable,läbirääkimisteta,labiraakimisteta,nonegotiable,0
suffix,ism,Icelandic,criticism,gagnrýni,gagnryni,criticism,0
suffix,ed,Swedish,called,kallad,kallad,caled,1
infix,press,Swedish,impressive,imponerande,imponerande,impresive,1
prefix,poly,Luxembourg,polyester,polyestergewebe,polyestergewebe,polyester,0
prefix,para,Hungarian,paranormal,paranormális,paranormalis,paranormal,1
prefix,dist,Latin,distant,distant,distant,distant,1
suffix,wise,Latvian,edgewise,edgewise,edgewise,edgewise,1
prefix,quad,Italian,quadrant,Quadrant,quadrant,quadrant,1
suffix,ee,Luxembourg,employee,Mataarbechter,mataarbechter,employee,0
suffix,ment,Welsh,movement,symudiad,symudiad,movement,0
prefix,contra,Portuguese,contraindicated,contra-indicado,contra-indicado,contraindicated,1
prefix,micro,Latvian,microscope,mikroskops,mikroskops,microscope,1
prefix,il,Swedish,illogical,ologisk,ologisk,ilogical,1
prefix,circum ,Swedish,circumvent,kringgå,kringga,circumvent,0
prefix,son,Swedish,sonic,Sonic,sonic,sonic,1
prefix,tri,Norwegian,triumvirate,triumviratet,triumviratet,triumvirate,1
prefix,exo,Italian,exhale,espirare,espirare,exhale,0
prefix,intra,Irish,intramural,intramural,intramural,intramural,1
prefix,micro,Icelandic,microcosm,smækkaðri,smaekkaori,microcosm,0
suffix,ion,Welsh,revision,adolygu,adolygu,revision,0
prefix,demi,Estonian,demigod,pooljumal,pooljumal,demigod,0
suffix,ible,Spanish,reprehensible,censurable,censurable,reprehensible,0
prefix,ante,Dutch,antebellum,vooroorlogse,vooroorlogse,antebelum,0
suffix,al,Latvian,seasonal,sezonas,sezonas,seasonal,1
prefix,over,Luxembourg,overwrought,überreizt,uberreizt,overrought,0
prefix,macro,Irish,macroscopic,macrascópach,macrascopach,macroscopic,1
infix,phob,French,euphobia,euphobie,euphobie,eufobia,1
prefix,quad,Hungarian,quadruplet,quadruplet,quadruplet,quadruplet,1
suffix,some,Basque,lonesome,bakardadea,bakardadea,lonesome,0
prefix,co,Dutch,copilot,copiloot,copiloot,copilot,1
prefix,para,Italian,paralegal,paralegale,paralegale,paralegal,1
prefix,pre,Luxembourg,preliminary,virleefeg,virleefeg,preliminary,0
prefix,circum ,Catalan,circumscribe,circumscriure,circumscriure,circumscribe,1
prefix,press,Basque,pressure,presioa,presioa,presure,1
suffix,er,Finnish,faster,nopeammin,nopeammin,faster,0
prefix,sex,Spanish,sexual,sexual,sexual,sexual,1
suffix,eum,Norwegian,coliseum,Colosseum,colosseum,coliseum,1
prefix,negr,Icelandic,negroid,svertingja,svertingja,negroid,0
prefix,cog,Portuguese,cogitate,cogitate,cogitate,cogitate,1
prefix,poly,French,polyester,polyester,polyester,polyester,1
prefix,agor,German,agoraphobia,Agoraphobie,agoraphobie,agorafobia,1
prefix,counter,French,counter-attack,contre-attaque,contre-attaque,counter-attak,1
suffix,ate,Basque,gyrate,zikloa,zikloa,gyrate,0
prefix,re,Dutch,reconsider,heroverwegen,heroverwegen,reconsider,0
suffix,ible,Swedish,terrible,fruktansvärd,fruktansvard,terrible,0
prefix,ir,Swedish,irreversible,oåterkallelig,oaterkallelig,irreversible,0
suffix,th,Hungarian,warmth,melegség,melegseg,warmth,0
suffix,istry,Irish,chemistry,ceimic,ceimic,chemistry,1
prefix,equ,Swedish,equivocal,tvetydig,tvetydig,equivocal,0
prefix,en,Latvian,encase,encase,encase,encase,1
suffix,ity,Basque,probability,probabilitatea,probabilitatea,probability,0
suffix,less,Dutch,fearless,onverschrokken,onverschrokken,fearles,0
prefix,bi,Dutch,bilateral,bilateraal,bilateraal,bilateral,1
prefix,aud,Swedish,auditory,auditiv,auditiv,auditory,1
suffix,wise,Dutch,edgewise,edgewise,edgewise,edgewise,1
suffix,ant,Swedish,brilliant,lysande,lysande,briliant,0
prefix,quad,Swedish,quadruplet,fyrdubbel,fyrdubbel,quadruplet,0
infix,hydr,Estonian,dehydrate,veetustada,veetustada,dehydrate,0
prefix,chron,German,chronological,chronologisch,chronologisch,chronological,1
prefix,uni,Luxembourg,universe,Universum,universum,universe,1
suffix,or,French,distributor,distributeur,distributeur,distributor,1
suffix,er,Latin,dancer,saltator,saltator,dancer,0
prefix,counter,Italian,counteroffer,controfferta,controfferta,counteroffer,1
prefix,sect,Swedish,section,avsnitt,avsnitt,section,0
prefix,ex,Luxembourg,ex-wife,ex-Fra,ex-fra,ex-wife,0
prefix,hydr,Scottish,hydrology,hydrology,hydrology,hydrology,1
suffix,ing,Basque,writing,grabatzen,grabatzen,riting,0
prefix,trans,German,translate,übersetzen,ubersetzen,translate,0
prefix,ex,Norwegian,ex-boss,ex-sjef,ex-sjef,ex-bos,0
suffix,ed,Irish,climbed,climbed,climbed,climed,1
prefix,dis,Spanish,disconnect,desconectar,desconectar,disconect,1
suffix,ant,Catalan,reliant,reliant,reliant,reliant,1
prefix,div,German,diverse,vielfältig,vielfaltig,diverse,0
suffix,ive,Danish,creative,kreativ,kreativ,creative,1
