type,affix,lang,word,trans,trans2,ref
prefix,para,Swedish,paranormal,paranormala,paranormala,paranormal
prefix,jur,Swedish,jurisprudence,rättspraxis,rattspraxis,jurisprudence
prefix,para,English,paralegal,paralegal,paralegal,paralegal
prefix,auto,Italian,autobiography,autobiografia,autobiografia,autobiografy
prefix,homo,French,homophone,homophone,homofone,homofone
suffix,or,Welsh,distributor,cyfanwerthwr,cyfanwerthr,distributor
suffix,en,Dutch,lengthen,verlengen,verlengen,lengthen
prefix,re,Welsh,re-evaluate,ail-werthuso,ail-werthuso,re-evaluate
prefix,nat,Finnish,native,äidinkielenään,aidinkielenaan,native
prefix,ped,Finnish,pedophile,pedofiili,pedofiili,pedofile
prefix,equ,Norwegian,equate,likhetstegn,likhetstegn,equate
prefix,macro,Hungarian,macroscopic,makroszkopikus,makroszkopikus,macroscopic
prefix,equ,Scottish,equate,equate,equate,equate
suffix,eum,Latvian,museum,muzejs,muzejs,museum
prefix,poly,Estonian,polyester,polüester,poluester,polyester
suffix,sect,Dutch,resect,resecteren,resecteren,resect
suffix,en,Irish,strengthen,neartú,neartu,strengthen
prefix,an,Finnish,anaerobic,anaerobinen,anaerobinen,anaerobic
suffix,ism,Scottish,humanism,humanism,humanism,humanism
prefix,over,English,overwrought,overwrought,overrought,overrought
suffix,sect,Estonian,dissect,lahkama,lahkama,disect
prefix,intra,Icelandic,intrasttate,intrasttate,intrasttate,intrasttate
infix,phob,Basque,zoophobia,zoofobia,zoofobia,zoofobia
prefix,necro,German,necropsy,nekropsie,nekropsie,necropsy
prefix,mega,Spanish,megadose,megadosis,megadosis,megadose
prefix,necro,Scottish,necropsy,necropsy,necropsy,necropsy
suffix,y,Luxembourgish,brainy,gescheit,gesheit,brainy
suffix,ian,Portuguese,reptilian,reptiliano,reptiliano,reptilian
infix,dist,German,equidistant,äquidistante,aquidistante,equidistant
prefix,seme,Scottish,semester,semester,semester,semester
suffix,ous,English,gracious,gracious,gracious,gracious
suffix,al,Irish,theatrical,amharclainne,amharclaine,theatrical
suffix,ive,Swedish,preventive,förebyggande,forebyggande,preventive
prefix,post,Spanish,postscript,PostScript,postscript,postscript
suffix,ity,Spanish,equality,igualdad,igualdad,equality
suffix,ism,Basque,humanism,humanismoa,humanismoa,humanism
prefix,viv,English,vivacious,vivacious,vivacious,vivacious
prefix,ante,Welsh,anterior,anterior,anterior,anterior
prefix,press,Dutch,pressure,druk,druk,presure
prefix,aud,Latvian,auditory,dzirdes,dzirdes,auditory
suffix,eer,French,engineer,ingénieur,ingenieur,engineer
prefix,exo,French,exoskeleton,exosquelette,exosquelette,exoskeleton
prefix,div,Dutch,divide,verdelen,verdelen,divide
suffix,let,Basque,triplet,triplet-en,triplet-en,triplet
prefix,non,Irish,nonexistent,nonexistent,nonexistent,nonexistent
prefix,bio,Norwegian,biohazard,biohazard,biohazard,biohazard
suffix,ist,Latin,dentist,dentist,dentist,dentist
suffix,eer,Swedish,engineer,ingenjör,ingenjor,engineer
prefix,exo,Basque,exhale,exhale,exhale,exhale
prefix,ped,Norwegian,pedal,pedal,pedal,pedal
suffix,ee,Scottish,referee,rèitear,reitear,referee
suffix,less,English,fearless,fearless,fearles,fearles
prefix,equ,Swedish,equate,likställa,likstala,equate
prefix,mid,Finnish,midterm,välikausi,valikausi,midterm
prefix,sub,German,submarine,Boot,boot,submarine
infix,hydr,Scottish,anhydrate,anhydrate,anhydrate,anhydrate
prefix,sex,Spanish,sexagon,sexagon,sexagon,sexagon
prefix,poly,Scottish,polygamy,polygamy,polygamy,polygamy
suffix,ish,Latin,sluggish,segnis,segnis,sluggish
suffix,ium,Latvian,stadium,stadions,stadions,stadium
prefix,co,Luxembourgish,coexist,koexistieren,koexistieren,coexist
suffix,ness,French,kindness,gentillesse,gentilese,kindnes
prefix,blan,Italian,blanch,sbollentare,sbolentare,blanch
suffix,sion,Hungarian,confusion,zavartság,zavartsag,confusion
suffix,al,Dutch,seasonal,seizoensgebonden,seizoensgebonden,seasonal
prefix,syn,Swedish,synthetic,syntetisk,syntetisk,synthetic
prefix,viv,Norwegian,vivisection,vivisection,vivisection,vivisection
prefix,syn,Portuguese,synthetic,sintetico,sintetico,synthetic
prefix,mid,Catalan,midnight,midnight,midnight,midnight
suffix,ous,Estonian,gracious,armuline,armuline,gracious
suffix,ship,Italian,ownership,proprietà,proprieta,ownership
prefix,equ,Icelandic,equate,jafngilda,jafngilda,equate
prefix,negr,Danish,negroid,negroid,negroid,negroid
suffix,ary,Latin,planetary,planetario,planetario,planetary
prefix,mono,French,monotone,monotone,monotone,monotone
prefix,sex,Norwegian,sexism,sexisme,sexisme,sexism
infix,phil,Spanish,anglophile,anglófilo,anglofilo,anglofile
prefix,con,Latin,confound,"confundunt,","confundunt,",confound
suffix,ist,Latvian,receptionist,administrators,administrators,receptionist
suffix,ly,Estonian,gladly,meelega,meelega,gladly
suffix,eum,German,mausoleum,Mausoleum,mausoleum,mausoleum
prefix,blan,Catalan,blanch,blanch,blanch,blanch
suffix,ity,Norwegian,probability,sannsynlighet,sansynlighet,probability
prefix,in,Luxembourgish,injustice,Ungerechtigkeit,ungerechtigkeit,injustice
prefix,bi,Luxembourgish,bisexual,Bisexuell,bisexuel,bisexual
prefix,en,Hungarian,envelope,boríték,boritek,envelope
suffix,ish,Italian,childish,infantile,infantile,childish
prefix,dis,English,disagree,disagree,disagree,disagree
suffix,wise,Norwegian,otherwise,ellers,elers,otherwise
prefix,en,French,encase,encase,encase,encase
suffix,eer,Catalan,profiteer,profiteer,profiteer,profiteer
infix,olog,Catalan,mythology,mitologia,mitologia,mythology
suffix,ant,Norwegian,reliant,avhengig,avhengig,reliant
suffix,ing,English,driving,driving,driving,driving
suffix,ism,Basque,criticism,kritika,kritika,criticism
prefix,mono,Spanish,monotone,monótona,monotona,monotone
prefix,dis,Portuguese,disconnect,desligar,desligar,disconect
suffix,or,Latin,distributor,distributor,distributor,distributor
suffix,al,Estonian,natural,looduslik,looduslik,natural
suffix,ate,Catalan,postulate,postulat,postulat,postulate
prefix,ex,Catalan,ex-boss,ex-cap,ex-cap,ex-bos
prefix,nat,Hungarian,nature,természet,termeszet,nature
prefix,just,Estonian,justice,õiglus,oiglus,justice
prefix,extra,Danish,extraterrestrial,udenjordisk,udenjordisk,extraterrestrial
suffix,sion,Latvian,confusion,apjukums,apjukums,confusion
prefix,equ,Luxembourgish,equal,gläich,glaich,equal
prefix,a,Scottish,atheist,atheist,atheist,atheist
infix,morph,Portuguese,heteromorphic,heteromórfico,heteromorfico,heteromorfic
prefix,sym,French,sympathy,sympathie,sympathie,sympathy
prefix,a,Icelandic,atheist,atheist,atheist,atheist
suffix,some,Irish,fearsome,fearsome,fearsome,fearsome
prefix,equ,Spanish,equate,equiparar,equiparar,equate
prefix,trans,Hungarian,translate,fordítás,forditas,translate
suffix,ful,Icelandic,beautiful,fallegt,falegt,beautiful
suffix,ness,Icelandic,kindness,góðvild,goovild,kindnes
prefix,mid,Latvian,midseason,midseason,midseason,midseason
suffix,al,French,seasonal,saisonnier,saisonier,seasonal
prefix,dis,Welsh,disconnect,datgysylltu,datgysyltu,disconect
suffix,wise,Danish,edgewise,kantvis,kantvis,edgewise
suffix,ward,Italian,backward,indietro,indietro,bakward
prefix,micro,Luxembourgish,microscope,Mikroskop,mikroskop,microscope
prefix,anti,Catalan,antifreeze,anticongelant,anticongelant,antifreeze
suffix,ium,Portuguese,stadium,estadio,estadio,stadium
suffix,en,French,soften,adoucir,adoucir,soften
suffix,less,Latin,fearless,intrepidus,intrepidus,fearles
prefix,a,Swedish,abiotic,abiotisk,abiotisk,abiotic
suffix,ary,Italian,military,militare,militare,military
prefix,com,Portuguese,community,comunidade,comunidade,community
suffix,let,Luxembourgish,triplet,Drilling,driling,triplet
suffix,ive,Italian,expensive,costoso,costoso,expensive
suffix,some,Scottish,fearsome,fearsome,fearsome,fearsome
prefix,an,Luxembourgish,anhydrous,waasserfräi,waaserfrai,anhydrous
suffix,ward,Dutch,awkward,lastig,lastig,awkward
prefix,oct,French,octagon,octogone,octogone,octagon
infix,cog,Italian,recognize,riconoscere,riconoscere,recognize
prefix,post,Finnish,post-war,sodanjälkeinen,sodanjalkeinen,post-war
prefix,nat,Basque,natural,naturala,naturala,natural
prefix,jur,Welsh,jury,rheithgor,rheithgor,jury
suffix,sect,Catalan,bisect,bisect,bisect,bisect
suffix,ian,Italian,reptilian,Rettile,rettile,reptilian
suffix,sect,Icelandic,dissect,kryfja,kryfja,disect
prefix,para,Finnish,parachute,laskuvarjo,laskuvarjo,parachute
infix,press,Luxembourgish,impressive,beeindruckend,beeindrukend,impresive
prefix,quin,Irish,quintuplet,quintuplet,quintuplet,quintuplet
infix,hydr,Hungarian,anhydrate,anhidrát,anhidrat,anhydrate
prefix,chron,Irish,chronicle,chronicle,chronicle,chronicle
suffix,able,Italian,adaptable,adattabile,adattabile,adaptable
suffix,er,Danish,bigger,større,storre,bigger
suffix,er,Finnish,dancer,tanssija,tansija,dancer
suffix,ary,German,military,militärisch,militarish,military
prefix,nat,Hungarian,native,natív,nativ,native
suffix,less,Welsh,restless,aflonydd,aflonydd,restles
suffix,ee,Hungarian,employee,alkalmazott,alkalmazott,employee
prefix,div,Hungarian,divide,Osztás,osztas,divide
prefix,aud,English,audition,audition,audition,audition
suffix,ist,English,receptionist,receptionist,receptionist,receptionist
prefix,mono,Danish,monotone,monoton,monoton,monotone
prefix,blan,German,blank,leer,leer,blank
prefix,com,Danish,community,Fællesskab,faeleskab,community
suffix,al,Luxembourgish,criminal,kriminell,kriminel,criminal
suffix,y,Dutch,grouchy,humeurig,humeurig,grouchy
prefix,de,Portuguese,de-ice,degelo,degelo,de-ice
prefix,ex,German,ex-boss,ex-Chef,ex-chef,ex-bos
prefix,extra,Hungarian,extravert,extravertált,extravertalt,extravert
prefix,il,Latin,illogical,inconveniens,inconveniens,ilogical
prefix,in,French,injustice,injustice,injustice,injustice
suffix,ful,Basque,beautiful,ederra,ederra,beautiful
prefix,ir,Icelandic,irreplaceable,óbætanlegur,obaetanlegur,irreplaceable
suffix,sion,French,depression,dépression,depresion,depresion
suffix,eum,Finnish,museum,museo,museo,museum
suffix,ship,Dutch,courtship,verkering,verkering,courtship
prefix,co,Scottish,coworker,coworker,coworker,coworker
suffix,ism,Irish,criticism,cáineadh,caineadh,criticism
prefix,uni,French,universe,univers,univers,universe
infix,olog,Irish,mythology,miotaseolaíocht,miotaseolaiocht,mythology
prefix,circum,Latin,circumvent,circumveniat,circumveniat,circumvent
prefix,auto,Latin,autobiography,vita,vita,autobiografy
suffix,ed,Latvian,called,sauc,sauc,caled
suffix,ary,Portuguese,planetary,planetario,planetario,planetary
suffix,y,Finnish,brainy,Välkky,valkky,brainy
suffix,let,Welsh,couplet,cwpled,cwpled,couplet
suffix,ism,Luxembourgish,professionalism,Professionalität,profesionalitat,profesionalism
prefix,sub,Irish,submarine,submarine,submarine,submarine
prefix,bio,Estonian,biology,bioloogia,bioloogia,biology
prefix,post,English,post-war,post-war,post-war,post-war
prefix,hydr,Latin,hydrate,hydrate,hydrate,hydrate
suffix,eum,Latin,museum,museum,museum,museum
suffix,ible,Latin,terrible,terribilis,terribilis,terrible
prefix,tele,French,telescope,télescope,telescope,telescope
prefix,blan,English,blanch,blanch,blanch,blanch
prefix,mono,Latin,monochrome,monochrome,monochrome,monochrome
prefix,super,Scottish,superfluous,superfluous,superfluous,superfluous
infix,phil,Welsh,anglophile,anglophile,anglofile,anglofile
prefix,mid,Scottish,midseason,midseason,midseason,midseason
prefix,mal,Catalan,maleficent,maleficent,maleficent,maleficent
prefix,com,Catalan,community,comunitat,comunitat,community
prefix,sub,Basque,sub-par,azpi-parea,azpi-parea,sub-par
infix,olog,Italian,geology,Geologia,geologia,geology
prefix,pre,Norwegian,prefix,oppringingsprefiks,opringingsprefiks,prefix
suffix,eur,Swedish,provacateur,provacateur,provacateur,provacateur
suffix,ate,Catalan,undulate,ondulat,ondulat,undulate
prefix,jur,Latvian,jurisprudence,jurisprudence,jurisprudence,jurisprudence
infix,cog,Spanish,recognize,reconocer,reconocer,recognize
infix,phil,English,anglophile,anglophile,anglofile,anglofile
prefix,arach,Hungarian,arachnophobia,arachnophobia,arachnofobia,arachnofobia
suffix,ness,Italian,fondness,predilezione,predilezione,fondnes
prefix,auto,Danish,autonomy,autonomi,autonomi,autonomy
suffix,istry,Luxembourgish,dentistry,zahnmedizin,zahnmedizin,dentistry
prefix,quad,Danish,quadrant,kvadrant,kvadrant,quadrant
prefix,ex,Norwegian,ex-husband,ex-mann,ex-man,ex-husband
prefix,a,Icelandic,abiotic,ófrumleg,ofrumleg,abiotic
prefix,micro,German,microcosm,Mikrokosmos,mikrokosmos,microcosm
prefix,com,Portuguese,compartment,compartimento,compartimento,compartment
suffix,ful,Norwegian,beautiful,vakre,vakre,beautiful
infix,bio,Latvian,abiotic,abiotikas,abiotikas,abiotic
suffix,er,Danish,fuller,fyldig,fyldig,fuler
prefix,tri,Spanish,triumvirate,triunvirato,triunvirato,triumvirate
suffix,ment,French,abandonment,abandon,abandon,abandonment
suffix,ary,English,military,military,military,military
suffix,or,Swedish,distributor,distributör,distributor,distributor
prefix,con,Danish,confound,forvirre,forvirre,confound
prefix,mid,French,midnight,minuit,minuit,midnight
infix,dist,Portuguese,equidistant,equidistante,equidistante,equidistant
prefix,aud,Catalan,auditorium,auditori,auditori,auditorium
prefix,a,Finnish,abiotic,abioottinen,abioottinen,abiotic
prefix,ped,Italian,pedometer,pedometro,pedometro,pedometer
suffix,ly,German,bravely,tapfer,tapfer,bravely
suffix,ic,Luxembourgish,heroic,Heroisch,heroish,heroic
prefix,il,Norwegian,illegible,uleselig,uleselig,ilegible
suffix,ing,Basque,driving,gidatzen,gidatzen,driving
suffix,ing,English,laughing,laughing,laughing,laughing
suffix,ism,Finnish,patriotism,isänmaallisuus,isanmaalisuus,patriotism
prefix,co,Catalan,copilot,copilot,copilot,copilot
suffix,ing,Luxembourgish,swimming,Swimmingpool,swimmingpool,swimming
prefix,bio,Swedish,biomass,biomassa,biomasa,biomas
prefix,ab,Irish,abstract,teibí,teibi,abstract
infix,press,Catalan,impressive,impressionant,impresionant,impresive
suffix,ary,Basque,budgetary,aurrekontu,aurrekontu,budgetary
prefix,oct,Italian,octagon,Octagon,octagon,octagon
suffix,ish,Spanish,sluggish,lento,lento,sluggish
infix,just,Latin,injustice,iniustitia,iniustitia,injustice
prefix,homo,Danish,homosexual,homoseksuelle,homoseksuele,homosexual
prefix,necro,Danish,necropolis,begravelsesplads,begravelsesplads,necropolis
suffix,wise,Italian,otherwise,altrimenti,altrimenti,otherwise
prefix,ir,Latin,irreversible,"carissimi,","carisimi,",irreversible
prefix,chron,Portuguese,chronicle,Cronica,cronica,chronicle
prefix,gyn,English,gynecology,gynecology,gynecology,gynecology
suffix,ous,Irish,gracious,gracious,gracious,gracious
suffix,istry,Latin,sophistry,sophistry,sofistry,sofistry
prefix,mis,German,misuse,Missbrauch,misbrauch,misuse
infix,sym,Estonian,assymetric,assümeetriline,asumeetriline,asymetric
suffix,let,Danish,couplet,couplet,couplet,couplet
prefix,multi,Hungarian,multiply,szorzás,szorzas,multiply
suffix,ist,Scottish,receptionist,receptionist,receptionist,receptionist
prefix,viv,Danish,vivisection,vivisektion,vivisektion,vivisection
suffix,ity,Luxembourgish,equality,Gleichheit,gleichheit,equality
prefix,mono,Danish,monochrome,monokrom,monokrom,monochrome
prefix,quad,Norwegian,quadrant,kvadrant,kvadrant,quadrant
suffix,istry,Welsh,dentistry,deintyddiaeth,deintyddiaeth,dentistry
suffix,ion,Danish,decision,beslutning,beslutning,decision
prefix,contra,Norwegian,contraflow,contrafow,contrafow,contraflow
prefix,amor,Icelandic,amorous,amorous,amorous,amorous
suffix,ate,Icelandic,undulate,afrita,afrita,undulate
suffix,ous,Hungarian,humorous,humoros,humoros,humorous
suffix,sion,German,compulsion,zwang,zwang,compulsion
prefix,term,Norwegian,terminal,terminal,terminal,terminal
prefix,mega,Welsh,megabyte,megabeit,megabeit,megabyte
suffix,er,Catalan,teacher,docència,docencia,teacher
suffix,sion,Norwegian,confusion,forvirring,forvirring,confusion
suffix,ize,German,commercialize,kommerzialisieren,kommerzialisieren,commercialize
suffix,opolis,Icelandic,metropolis,metropolis,metropolis,metropolis
prefix,seme,Finnish,semester,lukukausi,lukukausi,semester
suffix,ship,Basque,worship,otoitza,otoitza,worship
prefix,ante,Italian,anterior,anteriore,anteriore,anterior
suffix,ible,Norwegian,reprehensible,forkastelig,forkastelig,reprehensible
suffix,ous,Basque,gracious,grazia,grazia,gracious
suffix,less,English,hopeless,hopeless,hopeles,hopeles
prefix,bene,Estonian,benefit,kasu,kasu,benefit
